soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",17.648750064300263,0.7037450349914884,0.672575155984118,Industrials
47-3016.00,Helpers--Roofers,14.878376115518957,0.6993289841565703,0.672851817334576,Industrials
47-4011.00,Construction and Building Inspectors,54.74064362801278,0.7440225627209968,0.6877189529620152,Industrials
47-4011.01,Energy Auditors,58.88670139803971,0.746544747081712,0.6913916535708051,Industrials
47-4021.00,Elevator and Escalator Installers and Repairers,44.59402876046417,0.7179375513557932,0.6986432706222865,Industrials
47-4031.00,Fence Erectors,14.968011358314644,0.6987008096403692,0.6736139214892756,Industrials
47-4041.00,Hazardous Materials Removal Workers,37.38546939510413,0.7149637909319898,0.6908462703521393,Industrials
47-4051.00,Highway Maintenance Workers,16.99235480416838,0.698937865108869,0.6764015645371578,Industrials
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,14.743882225034069,0.6974583547999312,0.6745214909335123,Industrials
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,20.98806114387229,0.7024314536989136,0.6788782114140028,Industrials
47-4091.00,Segmental Pavers,9.950356628342712,0.7063157002373687,0.658501838235294,Industrials
47-4099.03,Weatherization Installers and Technicians,28.78274705789495,0.7105535744608592,0.6824026197862806,Industrials
47-5011.00,"Derrick Operators, Oil and Gas",21.411136478365066,0.6993230016313214,0.6826188068756319,Industrials
47-5012.00,"Rotary Drill Operators, Oil and Gas",23.386614735207473,0.7113722697056029,0.6735212247738344,Industrials
47-5013.00,"Service Unit Operators, Oil and Gas",16.106205248484738,0.7027577360910695,0.6712576419213974,Industrials
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",10.374618733868394,0.6924431526756711,0.673008302420067,Industrials
47-5023.00,"Earth Drillers, Except Oil and Gas",16.01706734232426,0.7052449907391817,0.6686372007366482,Industrials
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",32.08831350718108,0.7109707548614301,0.6869244935543278,Industrials
47-5041.00,Continuous Mining Machine Operators,5.820528157357494,0.6837064029151484,0.674940499801666,Industrials
47-5043.00,"Roof Bolters, Mining",0.0,0.6825004220834037,0.6674496644295301,Industrials
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",10.32750762810667,0.6960918909024343,0.6692891725352114,Industrials
47-5051.00,"Rock Splitters, Quarry",14.213818558572171,0.6893111194309248,0.6818767249310028,Industrials
47-5071.00,"Roustabouts, Oil and Gas",16.648820653603902,0.6953529194382855,0.6794732142857143,Industrials
47-5081.00,Helpers--Extraction Workers,10.2808598167189,0.6941673640167364,0.671144,Industrials
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",41.84669514849367,0.7337134822683956,0.6787623762376237,Industrials
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",46.22747491138981,0.7252053118993536,0.6938161444283045,Industrials
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",33.05129050006641,0.7161609388097234,0.6831731539324042,Industrials
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",37.6146123533191,0.7134366108125199,0.6927158273381295,Industrials
49-2091.00,Avionics Technicians,55.98848692102313,0.7336414199247505,0.6999645766914631,Industrials
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",33.95133648950876,0.7134384754394612,0.6872404324695384,Industrials
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",40.30681054418178,0.7178881217914677,0.6922868985402775,Industrials
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49.45408438678684,0.7231398332264272,0.7007027027027026,Industrials
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",51.13793227101595,0.7256574621959238,0.700701016473887,Industrials
